"Revision","Author","Date","Message"
"743","yancyn","2012-12-04 00:43:12","updating order."
"742","yancyn","2012-11-24 09:49:24","put the top sales customer first."
"741","yancyn","2012-11-23 13:35:39","show graph for nisan sales."
"740","yancyn","2012-11-20 02:14:21","updating new order."
"739","yancyn","2012-11-16 14:41:35","convert JawiPatch to nunit test project and console app as well.trimmed bracket during jawi file renaming."
"738","yancyn","2012-11-15 09:14:08","move existing file to another folder if found."
"737","yancyn","2012-11-14 23:19:17","check different before source and after export file."
"736","yancyn","2012-11-13 12:14:16","able to batch convert plt to svg.remark console line to make for better performance."
"735","yancyn","2012-11-09 16:12:39","refactor method for opening new dialog and press enter."
"734","yancyn","2012-11-05 16:26:42","wip: converting svg to plt with ui automation."
"733","yancyn","2012-11-05 13:40:19","rename Fs2Svg to JawiAuto to more general."
"732","yancyn","2012-11-05 00:31:32","start automate flexisign export to ai/eps format."
"731","yancyn","2012-11-04 17:50:45","not going to write empty line."
"730","yancyn","2012-11-04 15:29:53","patch svg overwrite itself at same directory."
"729","yancyn","2012-11-04 13:50:05","not going to write empty line.not going to change well-form svg format anymore.handle orphan tag 'connector-curvature'"
"728","yancyn","2012-11-04 12:48:36","added svg patch logic to purge the customized tag by inkscape."
"727","yancyn","2012-11-04 10:35:19","added new order."
"726","yancyn","2012-11-01 23:45:31","added DatePicker from WPFToolkit into JawiEntry main window."
"725","yancyn","2012-10-30 10:36:07","update nisan order.and new nisan template."
"724","yancyn","2012-10-24 09:00:14","adding new order & template."
"723","yancyn","2012-10-23 17:03:00","relocation output position where template file change to no margin/alignment."
"722","yancyn","2012-10-18 22:52:26","add hamid order"
"721","yancyn","2012-10-15 11:19:36","convert svg template to be able view under windows explorer."
"720","yancyn","2012-10-11 01:00:50","updating delivery date."
"719","yancyn","2012-10-08 16:50:42","replace visual studio testing framework with nunit.created a test to make sure all svg templates are inkscape-free format."
"718","yancyn","2012-10-08 16:43:04","removed inkscape compatible format and make it all able to preview under window explorer by svg extension component installed."
"717","yancyn","2012-10-07 14:31:40","updating new order."
"716","yancyn","2012-10-07 13:25:02","update new order."
"715","yancyn","2012-10-05 00:57:43","added hamid order."
"714","yancyn","2012-10-03 20:13:33","add 1 order from pak din."
"713","yancyn","2012-10-02 00:20:32","updating hamid order."
"712","yancyn","2012-09-26 23:17:54","adding new order from hamid."
"711","yancyn","2012-09-18 23:01:39","adding new order from hamid."
"710","yancyn","2012-09-17 10:16:22","updating order."
"709","yancyn","2012-09-16 23:52:21","adding new order from addin."
"708","yancyn","2012-09-16 22:32:01","updating order."
"707","yancyn","2012-09-14 18:25:05","added new order."
"706","yancyn","2012-09-03 12:16:00","updating order."
"705","yancyn","2012-09-01 23:50:45","adding order from hamid."
"704","yancyn","2012-08-31 11:02:17","adding new order."
"703","yancyn","2012-08-27 23:14:12","adding new order."
"702","yancyn","2012-08-22 21:35:52","added new order from pak din.added ali template.added README for useful link and info."
"701","yancyn","2012-08-14 21:49:45","adding new order from hamid"
"700","yancyn","2012-08-14 11:03:43","added ali filtering."
"699","yancyn","2012-08-14 10:17:24","updating new order."
"698","yancyn","2012-08-10 01:06:46","rename sharifah2 to sharilah."
"697","yancyn","2012-08-10 01:04:46","adding hamid new order."
"695","yancyn","2012-08-06 15:11:16","adding new order."
"694","yancyn","2012-08-04 15:54:11","adding new order."
"693","yancyn","2012-08-03 03:08:19","added new order from ali."
